firstCellNumber,lastCellNumber,identifier,name,description
1,143,A,Portal grisene,Ingen pt
144,144,A,Er du dum?,Ingen pt
200,343,A,Portal koalaerne,Ingen pt
400,543,A,Portal pelikanerne,Ingen pt
600,671,A,Portal bacon,Ingen pt
800,935,A,Portal bamserne,Ingen ptd
1000,1167,A,Portal flodhestene,Ingen pt
1200,1347,A,Portal skildpadderne,Ingen pt
1400,1567,A,Portal tigerne,Ingen pt
1600,1743,A,Portal slangerne,Ingen pt
1744,1751,A,Celler i midt,Ingen pt
1,36,APRE,Portal gul stue,Ingen pt
37,74,APRE,Portal hønsene,Ingen pt
75,110,APRE,Portal kakerlakkerne,Ingen pt
111,150,APRE,Portal kyllingerne,Ingen pt
151,230,APRE,Portal Aberne,Ingen pt
231,260,APRE,Portal æslerne,Ingen pt
261,310,APRE,Portal ænderne,Ingen pt
347,382,APRE,Portal rød Stue,Ingen pt
311,346,APRE,Portal ulvene,Ingen pt
383,392,APRE,Casino gang 1 (Bjørnene),Ingen pt
393,402,APRE,Casino gang 2 (Pandaerne),Ingen pt
403,412,APRE,Casino gang 3 (Koalaerne),Ingen pt
413,422,APRE,VV gang 3 (Isbjørnene),Ingen pt
423,432,APRE,VV gang 2 (Bubbibjørnene),Ingen pt
433,442,APRE,VV gang 1 (Hulebjørnene),Ingen pt
443,454,APRE,Securitygang,Ingen pt
25086,25086,APRE,BO Celle 1,Ingen pt
25333,25333,APRE,BO Celle 2,Ingen pt
1,19,TPRE,Gammel Titan gang,Ingen pt
25,31,TPRE,Casino Titan gang,Ingen pt
20,24,TPRE,VV Titan gang,Ingen pt
1,50,FC,Portal FCoin/Gederne,Ingen pt
66,105,FC,Portal FCoin/Gederne,Ingen pt
10,10,AYT,YT celle i vaskeriet,Ingen pt
11,11,AYT,YT celle ved security,Ingen pt
1,6,AYT,Mini YT i hønsene,Ingen pt
12,12,AYT,YT celle ved casino,Ingen pt
455,470,APRE,Kloakken,Ingen pt
51,53,FC,Røde lejligheder i A+,Ingen pt
305,307,FC,Grønne lejligheder i A+,Ingen pt
308,310,FC,Gule lejligheder i A+,Ingen pt
326,326,FC,Celle i tanken,Ingen pt
320,325,FC,Lejligheder ved tanken,Ingen pt
312,313,FC,A+ ved politistationen,Ingen pt
302,304,FC,A+ ved politistationen,Ingen pt
314,319,FC,Ved togstationen i A+,Ingen pt
311,311,FC,A+ bandeområde celle,Ingen pt
300,301,FC,A+ bandeområde celle,Ingen pt
1,22,AVAGT,Højre vagtcellegang i A,Ingen pt
41,41,AVAGT,Højre vagtcellegang i A,Ingen pt
60,60,AVAGT,Højre vagtcellegang i A,Ingen pt
61,74,AVAGT,Anden højre vagtcellegang i A,Ingen pt
23,40,AVAGT,Venstre vagtcellegang i A,Ingen pt
42,44,AVAGT,Venstre vagtcellegang i A,Ingen pt
57,59,AVAGT,Venstre vagtcellegang i A,Ingen pt
99,99,AVAGT,Special cellen,Ingen pt
1,285,B,Portal sort,Ingen pt
286,494,B,Hvid cellegang,Ingen pt
495,718,B,Portal 1,Ingen pt
1055,1055,B,Portal 9,Ingen pt
1057,1111,B,Portal 9,Ingen pt
1113,1166,B,Portal 9,Ingen pt
1167,1437,B,Portal 2,Ingen pt
1438,1661,B,Portal 8,Ingen pt
1662,1670,B,Over vagtstuen,Ingen pt
1671,1717,B,Bag minen,Ingen pt
1718,1740,B,Portal sort bag væggen,Ingen pt
1741,1764,B,Bandeområdet,Ingen pt
1,33,BK,Kloakken,Ingen pt
1,180,BPRE,Sort portal ned af trappen,Ingen pt
101,230,BPRE,Sort portal ned af trappen,Ingen pt
231,338,BPRE,Portal 1,Ingen pt
533,637,BPRE,Portal 3,Ingen pt
638,734,BPRE,Portal 4,Ingen pt
735,831,BPRE,Portal 5,Ingen pt
832,928,BPRE,Portal 6,Ingen pt
929,1025,BPRE,Portal 7,Ingen pt
339,532,BPRE,Findes ikke,Ingen pt
1718,1737,BPRE,Portal sort bag væggen,Ingen pt
1,96,FCB,FCoin portal,Ingen pt
97,103,FCB,B+ Huse ved bank (Venstre),Ingen pt
104,106,FCB,B+ Huse ved bank (Højre),Ingen pt
107,107,FCB,B+ Huse bag banken,Ingen pt
108,115,FCB,B+ Lejligheder,Ingen pt
1,3,BYT,YT celler fitness,Ingen pt
1,16,BVAGT,B Vagtceller,Ingen pt
1,9,TBPRE,B Titan Celle,Ingen pt
1,96,C,Cellegang 1,Ingen pt
97,192,C,Cellegang 2,Ingen pt
193,288,C,Cellegang 3,Ingen pt
289,384,C,Cellegang 4,Ingen pt
385,480,C,Cellegang 5,Ingen pt
481,576,C,Cellegang 6,Ingen pt
578,673,C,Cellegang under casino,Ingen pt
1250,1537,C,Gammel normal portal,Ingen pt
1826,2114,C,Ny normal portal,Ingen pt
2115,2132,C,Kloak ved mogens,Ingen pt
2133,2156,C,Kloak ved casino,Ingen pt
1,384,CPRE,Madchemist portal,Ingen pt
1,3,CYT,YT celler (Jail),Ingen pt
4,6,CYT,YT celler (Lille vagtstue),Ingen pt
1,8,CVAGT,Første C vagt gang,Ingen pt
9,18,CVAGT,Anden C vagt gang,Ingen pt
19,26,CVAGT,Tredje C vagt gang,Ingen pt
